"filename", "language", "Batch", "Python", "XML", "C++", "Markdown", "comment", "blank", "total"
"d:\Document\repo\History\HistoryApplication\Algorithm\Bayes.py", "Python", 0, 185, 0, 0, 0, 5, 11, 201
"d:\Document\repo\History\HistoryApplication\Algorithm\K_Means.py", "Python", 0, 127, 0, 0, 0, 48, 28, 203
"d:\Document\repo\History\HistoryApplication\Algorithm\K_Means_Imple.py", "Python", 0, 96, 0, 0, 0, 28, 17, 141
"d:\Document\repo\History\HistoryApplication\Algorithm\Proxy.py", "Python", 0, 49, 0, 0, 0, 42, 12, 103
"d:\Document\repo\History\HistoryApplication\Algorithm\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"d:\Document\repo\History\HistoryApplication\Algorithm\apriori.py", "Python", 0, 82, 0, 0, 0, 0, 11, 93
"d:\Document\repo\History\HistoryApplication\Algorithm\dataIntegration.py", "Python", 0, 82, 0, 0, 0, 10, 11, 103
"d:\Document\repo\History\HistoryApplication\Algorithm\fpGrowth.py", "Python", 0, 80, 0, 0, 0, 7, 17, 104
"d:\Document\repo\History\HistoryApplication\Algorithm\listen.py", "Python", 0, 23, 0, 0, 0, 53, 13, 89
"d:\Document\repo\History\HistoryApplication\Algorithm\recommend.py", "Python", 0, 30, 0, 0, 0, 0, 5, 35
"d:\Document\repo\History\HistoryApplication\Algorithm\visitVisible.py", "Python", 0, 377, 0, 0, 0, 57, 61, 495
"d:\Document\repo\History\HistoryApplication\IndexForm.py", "Python", 0, 60, 0, 0, 0, 7, 8, 75
"d:\Document\repo\History\HistoryApplication\Main.py", "Python", 0, 22, 0, 0, 0, 2, 9, 33
"d:\Document\repo\History\HistoryApplication\MainWindow.ui", "XML", 0, 0, 202, 0, 0, 0, 1, 203
"d:\Document\repo\History\HistoryApplication\QtApp\Figure.ui", "XML", 0, 0, 31, 0, 0, 0, 1, 32
"d:\Document\repo\History\HistoryApplication\QtApp\MainWindow.cpp", "C++", 0, 0, 0, 12, 0, 0, 3, 15
"d:\Document\repo\History\HistoryApplication\QtApp\MainWindow.h", "C++", 0, 0, 0, 16, 0, 0, 7, 23
"d:\Document\repo\History\HistoryApplication\QtApp\MainWindow.ui", "XML", 0, 0, 202, 0, 0, 0, 1, 203
"d:\Document\repo\History\HistoryApplication\QtApp\main.cpp", "C++", 0, 0, 0, 9, 0, 0, 3, 12
"d:\Document\repo\History\HistoryApplication\QtApp\res.qrc", "XML", 0, 0, 5, 0, 0, 0, 1, 6
"d:\Document\repo\History\HistoryApplication\Resource\stopwords-master\README.md", "Markdown", 0, 0, 0, 0, 9, 0, 5, 14
"d:\Document\repo\History\HistoryApplication\Ui_Figure.py", "Python", 0, 20, 0, 0, 0, 7, 8, 35
"d:\Document\repo\History\HistoryApplication\appMain.py", "Python", 0, 7, 0, 0, 0, 4, 9, 20
"d:\Document\repo\History\HistoryApplication\init.py", "Python", 0, 12, 0, 0, 0, 20, 4, 36
"d:\Document\repo\History\HistoryApplication\myFigureWindow.py", "Python", 0, 18, 0, 0, 0, 10, 21, 49
"d:\Document\repo\History\HistoryApplication\myMainWindow.py", "Python", 0, 26, 0, 0, 0, 86, 38, 150
"d:\Document\repo\History\HistoryApplication\res_rc.py", "Python", 0, 62, 0, 0, 0, 6, 11, 79
"d:\Document\repo\History\HistoryApplication\ui_MainWindow.py", "Python", 0, 70, 0, 0, 0, 7, 8, 85
"d:\Document\repo\History\HistoryApplication\uic.bat", "Batch", 6, 0, 0, 0, 0, 0, 4, 10
"Total", "-", 6, 1428, 440, 37, 9, 399, 329, 2648
